block,n_items,n_rows,alpha,omega,status,detail
g1_g5,5,166,0.834143637236824,0.8478376950735018,ok,NA
plausibility_core,3,166,0.7955822550831799,0.80114106630207,ok,NA
r1_r5,5,166,0.7133162142333092,0.7410529153561685,ok,NA
