outcome,icc_type,estimate,conf_low,conf_high,status,detail
plausibility_index,ICC2k,NA,NA,NA,ok,NA
defect_index,ICC2k,NA,NA,NA,ok,NA
s1,ICC2k,NA,NA,NA,ok,NA
s2,ICC2k,NA,NA,NA,ok,NA
