term,estimate,std_error,statistic,p_value,status,detail,conf_low,conf_high
(Intercept),10.185156520383282,8.457307475638006,1.2043024981322357,0.22847268149485164,ok,NA,-6.390861538048563,26.76117457881513
plausibility_index,-2.3051193874774447,1.4796076030813246,-1.557926157365621,0.11925075371603523,ok,NA,-5.205097000768475,0.5948582258135859
defect_index,-0.5360117297473127,1.3744997485272001,-0.3899685906248134,0.6965597729013805,ok,NA,-3.229981733619985,2.15795827412536
