outcome,guardrail,profile,emmean,std_error,conf_low,conf_high,status,detail
plausibility_index,off,R1,3.8028358679451335,0.20629214488010664,3.244520505841041,4.3611512300492254,ok,NA
plausibility_index,on,R1,3.8311241587568667,0.21565083090058043,3.2754774849169292,4.386770832596804,ok,NA
plausibility_index,off,R2,3.78664867354939,0.21418515657955126,3.2302111240004465,4.343086223098334,ok,NA
plausibility_index,on,R2,3.8392198039155674,0.22020280335466838,3.285478193625626,4.392961414205509,ok,NA
plausibility_index,off,R3,3.7959079328086496,0.21418515657955117,3.2394703832535856,4.352345482363713,ok,NA
plausibility_index,on,R3,3.8436696320559607,0.21962157992553888,3.289465552008351,4.3978737121035705,ok,NA
defect_index,off,R1,2.1553707416325825,0.18527514494595748,1.6517558697253611,2.658985613539804,ok,NA
defect_index,on,R1,2.0244765811190413,0.19454171635891304,1.5231819666505007,2.525771195587582,ok,NA
defect_index,off,R2,2.102630765964462,0.19307472430690206,1.600542173717387,2.604719358211537,ok,NA
defect_index,on,R2,2.0835283091004713,0.19913056469652946,1.5840663061984792,2.582990312002463,ok,NA
defect_index,off,R3,2.14151965485335,0.1930747243069021,1.6394310626087414,2.6436082470979585,ok,NA
defect_index,on,R3,2.0341975830791306,0.1985269263854961,1.5342822026300107,2.5341129635282504,ok,NA
