cluster,plausibility_index,defect_index,symptom_error_mean,g2,g5,severity_error,impact_error,n_transcripts
C1,3.7690972222222223,-2.21875,-0.4513888888888889,3.7578125,3.4609375,-0.22135416666666663,-0.19791666666666666,32
C2,4.195833333333334,-1.775,-0.5944444444444444,3.9270833333333335,4.05,-0.4583333333333333,-0.5645833333333333,40
