metric,value
source_mode,data_clean
n_raters,6
n_transcripts,72
n_seeds,12
n_ratings,166
mean_ratings_per_transcript,2.30555555555556
min_ratings_per_transcript,2
max_ratings_per_transcript,6
severity_error_mode,direct_1to5
guardrail_off,94
guardrail_on,72
profile_R1,70
profile_R2,48
profile_R3,48
guardrail_off_profile_R1,46
guardrail_off_profile_R2,24
guardrail_off_profile_R3,24
guardrail_on_profile_R1,24
guardrail_on_profile_R2,24
guardrail_on_profile_R3,24
