outcome,model_type,term,estimate,std_error,statistic,p_value,conf_low,conf_high,status,detail
Prirodzenosť jazyka a štýlu odpovedí,CLMM,1|2,-4.973197688360242,2.0257966955003757,-2.4549342485386236,0.01409103592191636,-8.943759211540979,-1.0026361651795055,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,2|3,-0.9876585377646654,1.722121964726481,-0.5735125374360648,0.5662977126325104,-4.363017588628567,2.387700513099237,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,3|4,-0.25617675245370936,1.7245709836297851,-0.14854520624864173,0.8819125122278654,-3.636335880368088,3.123982375460669,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,4|5,5.39336780729234,1.8082874356305347,2.9825832447990868,0.0028582690705900027,1.8491244334564922,8.937611181128188,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,Hlavný efekt klinického usmernenia G1 (vs. G0),-0.056259060235404786,0.6109712040599661,-0.09208136138259476,0.9266333969920869,-1.2537626201929382,1.1412444997221287,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,Hlavný efekt P2 (vs. P1),0.47041786178948497,0.6011078981828994,0.7825847293165172,0.433871011792282,-0.7077536186489979,1.6485893422279678,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,Hlavný efekt P3 (vs. P1),-0.035037645431479046,0.5958752095508963,-0.05880030729569448,0.9531111636993217,-1.202953056151236,1.1328777652882778,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,Interakcia klinického usmernenia G1 × P2,-0.9421039925858236,0.9135322308759125,-1.031276139740046,0.30241134414958754,-2.732627165102612,0.8484191799309649,ok,Response levels used: 5.
Prirodzenosť jazyka a štýlu odpovedí,CLMM,Interakcia klinického usmernenia G1 × P3,0.40373146792487086,0.930336100980218,0.4339630242226358,0.6643152920160933,-1.4197272899963564,2.227190225846098,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,1|2,-5.620553203044738,1.425690573171068,-3.9423373548324148,8.069136878421904e-5,-8.414906726460032,-2.826199679629444,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,2|3,-2.387586063261751,1.0581417318787203,-2.2563953309190588,0.024045883794484788,-4.461543857744043,-0.3136282687794596,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,3|4,-1.5724403970597705,1.049716521493489,-1.4979667032605848,0.1341419015971305,-3.629884779187009,0.48500398506746767,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,4|5,2.783053005316391,1.0901061203928437,2.553011081447242,0.01067960983715319,0.6464450093464174,4.919661001286364,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,Hlavný efekt klinického usmernenia G1 (vs. G0),0.3143454179435373,0.5699994436418846,0.5514837276596223,0.5813021185052896,-0.8028534915945565,1.4315443274816313,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,Hlavný efekt P2 (vs. P1),-0.46811156356147765,0.5438321965277971,-0.8607647111558075,0.3893676444297554,-1.53402266875596,0.5977995416330046,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,Hlavný efekt P3 (vs. P1),-0.027304166634314335,0.558776307746743,-0.048864216781878196,0.9610275056508238,-1.1225057298179306,1.067897396549302,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,Interakcia klinického usmernenia G1 × P2,0.16176548170946045,0.8131615893425286,0.1989339927384591,0.8423143785468384,-1.4320312334018954,1.7555621968208164,ok,Response levels used: 5.
Použiteľnosť rozhovoru na tréningové / výučbové účely,CLMM,Interakcia klinického usmernenia G1 × P3,0.3437114356467402,0.8288766866064184,0.41467137536943083,0.6783824898128545,-1.28088687010184,1.9683097413953203,ok,Response levels used: 5.
Ľudský odhad celkovej závažnosti depresívnej symptomatiky,CLMM,1|2,-7.138974451875245,1.4377658304303087,-4.965324881687182,6.858615686079303e-7,-9.95699547951865,-4.32095342423184,ok,Response levels used: 5.
