block,n_items,n_rows,alpha,omega,status,detail
g1_g5,5,199,0.8432213573566126,0.8535582875495835,ok,NA
plausibility_core,3,199,0.7723276260990264,0.7791391876290569,ok,NA
r1_r5,5,199,0.7407284409808323,0.7596699047796395,ok,NA
